artist_name	artist_page_url	gender	born	position	genres	site	booking	external_links
Moxie	/artist/86806:Moxie	vrouw	Verenigd Koninkrijk	DJ	bass, garage, grime, house, UK bass	http://djmoxie.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/djmoxie', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/DJMoxie', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/251475859362'}
Ray Okpara	/artist/29237:Ray-Okpara	man	Duitsland	DJ, live act	house, techno	http://www.rajo-music.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/rayokpara', 'twitter': 'https://partyflock.nlhttps://twitter.com/rayokpara', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/114508938309'}
Kobosil	/artist/82057:Kobosil	man	Duitsland	DJ, live act, producer	techno		http://ostgut.de/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kobosil', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/200677726648116'}
Marc Houle	/artist/23405:Marc-Houle	man	Canada	DJ, live act	minimal	http://www.marchoule.net/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marchoule', 'twitter': 'https://partyflock.nlhttps://twitter.com/MarcRHoule', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/128817759178', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/MarcRHoule'}
Seuil	/artist/63329:Hold-Youth	man	Frankrijk	DJ	house, techhouse, techno			{}
Daniel Bortz	/artist/63058:Daniel-Bortz	man	Duitsland	DJ	electro, house, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/danielbortz', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/199419012736'}
Raresh	/artist/34195:Raresh	man	Roemenië	DJ	minimal, techhouse, techno		http://www.cocoon.net/	{'itunes': 'https://partyflock.nlhttps://itunes.apple.com/artist/arpiar-a.k.a.-raresh/id286350993', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/191055057591883'}
Will Saul	/artist/37052:Chase-and-Status	man	Verenigd Koninkrijk	DJ, groep	2step, breakbeat, drum & bass, hip hop			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/chaseandstatus', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/ChaseAndStatusVEVO', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/3jNkaOXasoc7RsxdchvEVq', 'twitter': 'https://partyflock.nlhttps://twitter.com/chaseandstatus', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/32209995973', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/chaseandstatus/'}
DJ Boring								
Huerco S								
Hannah Wants	/artist/78982:Hannah-Wants	vrouw	Verenigd Koninkrijk	DJ	house	http://www.hannahwants.com/	http://www.echolocationtalent.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/hannah_wants', 'twitter': 'https://partyflock.nlhttps://twitter.com/hannah_wants', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/295493487148735', 'instagram': 'https://partyflock.nlhttps://instagram.com/hannah_wants'}
SØS Gunver Ryberg	/artist/110108:SOS-Gunver-Ryberg		Denemarken	live act		http://sosgunverryberg.com/	http://poly.am/sosgunverryberg.html	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/soesgunverryberg', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1484011905210811'}
Gwenan	/artist/102874:Gwenan	vrouw	Verenigd Koninkrijk	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/gwenans', 'twitter': 'https://partyflock.nlhttps://twitter.com/gwenanspearing?lang=en', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/36904534'}
Larry Heard	/artist/36312:Larry-Heard	man	Verenigde Staten	DJ, live act	deephouse, house, IDM			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/larryheardofficial', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/567255265'}
Janeret	/artist/93809:Janeret	man	Frankrijk	DJ			http://yoyaku.agency/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/Janeret', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/279805465384060'}
Joris Voorn	/artist/4584:Joris-Voorn	man	Nederland	DJ, live act	ambient, techno	http://www.jorisvoorn.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/joris-voorn', 'twitter': 'https://partyflock.nlhttps://twitter.com/jorisvoorn', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/15165307788', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/jorisvoorndj'}
Mark Broom	/artist/2681:Mark-Broom	man	Verenigd Koninkrijk	DJ	electro, techno	http://www.markbroom.co.uk/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/beardman', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/351378814943592'}
Danny Daze	/artist/65814:Danny-Daze	man	Verenigde Staten	DJ	deephouse, house, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/dannydaze', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/dannydaze', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/158911390832200', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/FreakShowHoe'}
Red Axes	/artist/89900:Red-Axes	man	Israël	DJ, live act, groep				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/redaxes', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/112609205494983', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/channel/UCtHlsHR47lUXvBEpTmAEjUw', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/5Owm9QgL9BSCRQKTX6T08G'}
Sasha	/artist/108389:Seyram-Sashay	vrouw	Nederland	DJ	afro, hip hop, house, r&b			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/ladysasefras', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1641423525914706', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/seyram.sashay/'}
James Zabiela	/artist/3112:James-Zabiela	man	Verenigd Koninkrijk	DJ, producer	breakbeat, house, progressive trance, techno		http://www.wearee.nl/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/jameszabiela', 'twitter': 'https://partyflock.nlhttps://twitter.com/jameszabiela', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/5587108598'}
Mala	/artist/90788:Malaa		Frankrijk	DJ		http://malaamusic.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/malaamusic', 'twitter': 'https://partyflock.nlhttps://twitter.com/Malaamusic', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/879174875483495', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/7w1eTNePApzDk8XtgykCPS', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/malaamusic/'}
rRoxymore	/artist/79044:rRoxymore	vrouw	Duitsland	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/rroxymore', 'twitter': 'https://partyflock.nlhttps://twitter.com/Rroxymore', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/347543760383', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/rroxymore/'}
DJ EZ								
Analog Soul	/artist/112614:Analog-Soul	vrouw	Verenigde Staten	1 × ?, groep				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/analogsoul_nyc', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/198192486874077'}
Fred P								
