artist_name	gender	event_id	date	venue_namevenue_id	city	country
214	Male	139054	2010-02-12T00:00			
214	Male	186557	2010-09-23T00:00			
214	Male	103817	2009-07-11T00:00			
214	Male	109058	2009-08-14T00:00			
214	Male	114502	2009-09-26T00:00			
214	Male	130931	2009-11-28T00:00			
214	Male	52159	2008-05-30T00:00			
214	Male	5457	2005-02-11T00:00			
214	Male	3468	2004-03-10T00:00			
4bel	Male	694487	2015-06-20T00:00			
4bel	Male	738369	2015-07-25T00:00			
4bel	Male	728472	2015-08-01T00:00			
4bel	Male	728474	2015-09-10T00:00			
4bel	Male	586267	2014-07-12T00:00			
4bel	Male	643835	2014-10-27T00:00			
4bel	Male	583967	2012-11-22T00:00			
6884	Male	943397	2017-05-13T00:00			
747	Male	794867	2016-01-02T00:00			
99letters	Male	980164	2017-07-07T00:00			
99letters	Male	806121	2016-03-11T00:00			
99letters	Male	832891	2016-05-20T00:00			
99letters	Male	899473	2016-12-02T00:00			
99letters	Male	700213	2015-05-15T00:00			
99letters	Male	765438	2015-11-13T00:00			
99letters	Male	496825	2013-06-13T00:00			
99letters	Male	468885	2012-05-01T00:00			
99letters	Male	468889	2012-06-15T00:00			
99letters	Male	468888	2012-06-29T00:00			
99letters	Male	468892	2012-07-09T00:00			
99letters	Male	468894	2012-08-17T00:00			
99letters	Male	468471	2012-09-06T00:00			
99letters	Male	468896	2012-11-11T00:00			
99letters	Male	468895	2012-11-12T00:00			
99letters	Male	468900	2011-01-15T00:00			
99letters	Male	268751	2011-07-24T00:00			
[a]pendics.shuffle	Male	881428	2016-10-08T00:00			
[a]pendics.shuffle	Male	630581	2014-10-19T00:00			
[a]pendics.shuffle	Male	463253	2013-03-23T00:00			
[a]pendics.shuffle	Male	478168	2013-07-12T00:00			
[a]pendics.shuffle	Male	501480	2013-07-25T00:00			
[a]pendics.shuffle	Male	364068	2012-05-18T00:00			
[a]pendics.shuffle	Male	359526	2012-06-21T00:00			
[a]pendics.shuffle	Male	397389	2012-10-05T00:00			
[a]pendics.shuffle	Male	412457	2012-10-28T00:00			
[a]pendics.shuffle	Male	237603	2011-03-05T00:00			
[a]pendics.shuffle	Male	236859	2011-03-18T00:00			
[a]pendics.shuffle	Male	240892	2011-04-01T00:00			
[a]pendics.shuffle	Male	252013	2011-04-29T00:00			
[a]pendics.shuffle	Male	266931	2011-06-08T00:00			
[a]pendics.shuffle	Male	263829	2011-06-18T00:00			
[a]pendics.shuffle	Male	270459	2011-07-02T00:00			
[a]pendics.shuffle	Male	264068	2011-07-16T00:00			
[a]pendics.shuffle	Male	271062	2011-07-23T00:00			
[a]pendics.shuffle	Male	287429	2011-09-23T00:00			
[a]pendics.shuffle	Male	302515	2011-11-04T00:00			
[a]pendics.shuffle	Male	312106	2011-12-10T00:00			
[a]pendics.shuffle	Male	137165	2010-01-15T00:00			
